City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,kolonia town,6.964,158.206,31.06,79,100,1.54,FM,1727323747
306,leposaviq,43.1039,20.8028,12.47,89,58,0.87,XK,1727323747
307,strezhevoy,60.7333,77.5889,1.48,94,100,5.85,RU,1727323747
308,qaqortoq,60.7167,-46.0333,3.41,94,11,1.14,GL,1727323747
309,ust-nera,64.5667,143.2,5.3,72,48,3.27,RU,1727323748
310,san antonio de pale,-1.4014,5.6325,24.94,83,84,5.16,GQ,1727323748
311,broome,42.2506,-75.833,16.5,85,100,3.13,US,1727323748
312,kodinsk,58.6881,99.1844,3.07,85,100,3.37,RU,1727323748
313,scarborough,54.2797,-0.4044,12.66,92,100,4.02,GB,1727323632
314,sambava,-14.2667,50.1667,22.33,69,29,4.48,MG,1727323749
315,prestatyn,53.3375,-3.4078,12.17,96,100,4.09,GB,1727323749
316,severnoye,56.3491,78.3619,2.65,69,26,4.85,RU,1727323749
317,pohang,36.0322,129.365,26.29,63,86,1.5,KR,1727323519
318,moussoro,13.6408,16.4901,28.39,58,6,2.99,TD,1727323750
319,dedza,-14.3779,34.3332,14.95,45,0,0.5,MW,1727323750
320,san juan del sur,11.2529,-85.8705,24.65,88,100,2.94,NI,1727323750
321,camenca,48.0319,28.6978,16.23,81,93,4.14,MD,1727323750
322,ribeira grande,38.5167,-28.7,20.43,84,92,2.24,PT,1727323750
323,krasnyy chikoy,50.3643,108.7512,14.18,66,73,3.29,RU,1727323750
324,bom jardim,-7.7958,-35.5872,20.14,90,84,2.41,BR,1727323751
325,howrah,22.5892,88.3103,27.0,94,100,3.09,IN,1727323751
326,prakhon chai,14.6059,103.1208,30.23,68,60,2.42,TH,1727323751
327,damara,4.9608,18.7035,21.38,96,100,1.04,CF,1727323751
328,callao,-12.0667,-77.15,17.16,82,100,3.6,PE,1727323751
329,salzwedel,52.85,11.15,13.87,92,100,6.44,DE,1727323559
330,yaren,-0.5472,166.916,28.43,68,5,1.16,NR,1727323752
331,constantia,44.1833,28.65,15.38,79,100,3.8,RO,1727323595
332,las khorey,11.1595,48.1967,31.88,57,74,1.45,SO,1727323752
333,puerto baquerizo moreno,-0.9,-89.6,19.77,87,68,4.7,EC,1727323752
334,gorontalo,0.5412,123.0595,31.99,58,84,3.89,ID,1727323752
335,longgang,37.6508,120.3286,21.59,60,16,5.69,CN,1727323753
336,bathsheba,13.2167,-59.5167,28.34,83,40,7.2,BB,1727323753
337,dawei,14.0833,98.2,30.53,62,86,1.6,MM,1727323753
338,usinsk,65.9939,57.5281,3.84,90,100,7.99,RU,1727323754
339,zabol,32.25,67.25,24.07,10,0,1.12,AF,1727323754
340,cole harbour,44.6724,-63.4751,13.85,94,99,2.57,CA,1727323564
341,nova vicosa,-17.8919,-39.3719,22.94,78,0,4.34,BR,1727323755
342,selkirk,50.1436,-96.8845,20.1,71,0,1.79,CA,1727323756
343,jiangyou,31.7667,104.7167,29.07,58,11,2.71,CN,1727323756
344,poltava,49.5937,34.5407,11.21,27,85,3.35,UA,1727323756
345,nikolayevsk-on-amure,53.1406,140.73,15.09,79,100,0.63,RU,1727323757
346,lompoc,34.6391,-120.4579,14.4,86,0,3.58,US,1727323757
347,vavozh,56.7751,51.931,8.34,57,33,2.37,RU,1727323757
348,barclayville,4.6797,-8.2339,23.38,93,55,0.46,LR,1727323758
349,lerwick,60.1545,-1.1494,6.85,78,36,3.06,GB,1727323758
350,praia da vitoria,38.7333,-27.0667,19.75,72,83,4.03,PT,1727323758
351,terbuny,52.1389,38.2789,9.07,30,63,3.78,RU,1727323758
352,yakeshi,49.2833,120.7333,19.91,25,67,3.75,CN,1727323758
353,nyagan,62.1406,65.3936,2.31,54,100,2.0,RU,1727323738
354,wakkanai,45.4094,141.6739,19.34,69,89,3.29,JP,1727323745
355,dolores,-36.3132,-57.6792,6.93,86,0,4.56,AR,1727323760
356,zheleznodorozhnyy,55.7503,38.0042,11.16,24,100,3.87,RU,1727323760
